gcc -g driver.c -o driver
dgeqrf dgorgqr LAPACK | m =   50, n =   50, k =   10, nb =    3, lda =   50, ldq =   50,              | time = 0.000073   GFlop/sec = 4.568959| repres  = 3.1e-16    ortho = 2.6e-15 
dgeqrf dgorgqr LAPACK | m =  150, n =   50, k =   10, nb =    3, lda =  150, ldq =  150,              | time = 0.000277   GFlop/sec = 4.812741| repres  = 2.9e-16    ortho = 3.3e-15 
dgeqrf dgorgqr LAPACK | m =  150, n =  150, k =   10, nb =    3, lda =  150, ldq =  150,              | time = 0.000582   GFlop/sec = 15.464456| repres  = 2.9e-16    ortho = 5.0e-15 
dgeqrf dgorgqr LAPACK | m =  250, n =   50, k =   10, nb =    3, lda =  250, ldq =  250,              | time = 0.000288   GFlop/sec = 8.101581| repres  = 3.4e-16    ortho = 4.2e-15 
dgeqrf dgorgqr LAPACK | m =  250, n =  150, k =   10, nb =    3, lda =  250, ldq =  250,              | time = 0.001357   GFlop/sec = 13.263786| repres  = 3.4e-16    ortho = 6.9e-15 
dgeqrf dgorgqr LAPACK | m =  250, n =  250, k =   10, nb =    3, lda =  250, ldq =  250,              | time = 0.001632   GFlop/sec = 25.531434| repres  = 3.4e-16    ortho = 8.1e-15 
dgeqrf dgorgqr LAPACK | m =  250, n =  250, k =  210, nb =    3, lda =  250, ldq =  250,              | time = 0.012228   GFlop/sec = 3.407477| repres  = 1.1e-15    ortho = 1.6e-14 
dgeqrf dgorgqr LAPACK | m =  250, n =  250, k =  210, nb =   13, lda =  250, ldq =  250,              | time = 0.015372   GFlop/sec = 2.710591| repres  = 1.1e-15    ortho = 1.7e-14 
dgeqrf dgorgqr LAPACK | m =  250, n =  250, k =  210, nb =   23, lda =  250, ldq =  250,              | time = 0.012848   GFlop/sec = 3.243072| repres  = 1.1e-15    ortho = 1.7e-14 
dgeqrf dgorgqr LAPACK | m =  350, n =   50, k =   10, nb =    3, lda =  350, ldq =  350,              | time = 0.000534   GFlop/sec = 6.241524| repres  = 3.4e-16    ortho = 4.8e-15 
dgeqrf dgorgqr LAPACK | m =  350, n =  150, k =   10, nb =    3, lda =  350, ldq =  350,              | time = 0.001310   GFlop/sec = 20.612706| repres  = 3.4e-16    ortho = 7.3e-15 
dgeqrf dgorgqr LAPACK | m =  350, n =  250, k =   10, nb =    3, lda =  350, ldq =  350,              | time = 0.002256   GFlop/sec = 29.551920| repres  = 3.4e-16    ortho = 9.3e-15 
dgeqrf dgorgqr LAPACK | m =  350, n =  250, k =  210, nb =    3, lda =  350, ldq =  350,              | time = 0.019816   GFlop/sec = 3.364298| repres  = 1.2e-15    ortho = 1.7e-14 
dgeqrf dgorgqr LAPACK | m =  350, n =  250, k =  210, nb =   13, lda =  350, ldq =  350,              | time = 0.020111   GFlop/sec = 3.314961| repres  = 1.2e-15    ortho = 1.7e-14 
dgeqrf dgorgqr LAPACK | m =  350, n =  250, k =  210, nb =   23, lda =  350, ldq =  350,              | time = 0.020725   GFlop/sec = 3.216725| repres  = 1.2e-15    ortho = 1.7e-14 
dgeqrf dgorgqr LAPACK | m =  350, n =  350, k =   10, nb =    3, lda =  350, ldq =  350,              | time = 0.003488   GFlop/sec = 32.778452| repres  = 3.4e-16    ortho = 1.0e-14 
dgeqrf dgorgqr LAPACK | m =  350, n =  350, k =  210, nb =    3, lda =  350, ldq =  350,              | time = 0.036652   GFlop/sec = 3.119442| repres  = 1.2e-15    ortho = 2.2e-14 
dgeqrf dgorgqr LAPACK | m =  350, n =  350, k =  210, nb =   13, lda =  350, ldq =  350,              | time = 0.032397   GFlop/sec = 3.529130| repres  = 1.2e-15    ortho = 2.3e-14 
dgeqrf dgorgqr LAPACK | m =  350, n =  350, k =  210, nb =   23, lda =  350, ldq =  350,              | time = 0.034523   GFlop/sec = 3.311801| repres  = 1.2e-15    ortho = 2.3e-14 
dgeqrf dgorgqr LAPACK | m =  450, n =   50, k =   10, nb =    3, lda =  450, ldq =  450,              | time = 0.000840   GFlop/sec = 5.159046| repres  = 3.6e-16    ortho = 4.6e-15 
