dgeqrf dgorgqr LAPACK | m =    1, n =    1, k =    1, nb =    3, lda =    1, ldq =    1,              | time = 0.000002   GFlop/sec = 0.000699| repres  = 0.0e+00    ortho = 0.0e+00 
dgeqrf dgorgqr LAPACK | m =    2, n =    2, k =    2, nb =    3, lda =    2, ldq =    2,              | time = 0.000100   GFlop/sec = 0.000107| repres  = 0.0e+00    ortho = 1.1e-16 
dgeqrf dgorgqr LAPACK | m =    3, n =    3, k =    3, nb =    3, lda =    3, ldq =    3,              | time = 0.000086   GFlop/sec = 0.000418| repres  = 1.8e-16    ortho = 2.6e-16 
dgeqrf dgorgqr LAPACK | m =    4, n =    4, k =    4, nb =    3, lda =    4, ldq =    4,              | time = 0.000099   GFlop/sec = 0.000862| repres  = 1.6e-16    ortho = 5.4e-16 
dgeqrf dgorgqr LAPACK | m =    5, n =    5, k =    5, nb =    3, lda =    5, ldq =    5,              | time = 0.000088   GFlop/sec = 0.001894| repres  = 4.0e-16    ortho = 9.9e-16 
dgeqrf dgorgqr LAPACK | m =    6, n =    6, k =    6, nb =    3, lda =    6, ldq =    6,              | time = 0.000088   GFlop/sec = 0.003274| repres  = 1.4e-16    ortho = 5.5e-16 
dgeqrf dgorgqr LAPACK | m =    7, n =    7, k =    7, nb =    3, lda =    7, ldq =    7,              | time = 0.000092   GFlop/sec = 0.004969| repres  = 3.2e-16    ortho = 7.9e-16 
dgeqrf dgorgqr LAPACK | m =    8, n =    8, k =    8, nb =    3, lda =    8, ldq =    8,              | time = 0.000092   GFlop/sec = 0.007418| repres  = 4.4e-16    ortho = 1.3e-15 
dgeqrf dgorgqr LAPACK | m =    9, n =    9, k =    9, nb =    3, lda =    9, ldq =    9,              | time = 0.000093   GFlop/sec = 0.010453| repres  = 4.4e-16    ortho = 1.0e-15 
dgeqrf dgorgqr LAPACK | m =   10, n =   10, k =   10, nb =    3, lda =   10, ldq =   10,              | time = 0.000088   GFlop/sec = 0.015156| repres  = 3.6e-16    ortho = 1.2e-15 
dgeqrf dgorgqr LAPACK | m =   11, n =   11, k =   11, nb =    3, lda =   11, ldq =   11,              | time = 0.000089   GFlop/sec = 0.019902| repres  = 2.3e-16    ortho = 8.8e-16 
dgeqrf dgorgqr LAPACK | m =   12, n =   12, k =   12, nb =    3, lda =   12, ldq =   12,              | time = 0.000089   GFlop/sec = 0.025908| repres  = 3.8e-16    ortho = 1.3e-15 
dgeqrf dgorgqr LAPACK | m =   13, n =   13, k =   13, nb =    3, lda =   13, ldq =   13,              | time = 0.000089   GFlop/sec = 0.032940| repres  = 3.9e-16    ortho = 1.3e-15 
dgeqrf dgorgqr LAPACK | m =   14, n =   14, k =   14, nb =    3, lda =   14, ldq =   14,              | time = 0.000106   GFlop/sec = 0.034484| repres  = 3.0e-16    ortho = 1.1e-15 
dgeqrf dgorgqr LAPACK | m =   15, n =   15, k =   15, nb =    3, lda =   15, ldq =   15,              | time = 0.000089   GFlop/sec = 0.050602| repres  = 3.4e-16    ortho = 1.0e-15 
dgeqrf dgorgqr LAPACK | m =   16, n =   16, k =   16, nb =    3, lda =   16, ldq =   16,              | time = 0.000095   GFlop/sec = 0.057410| repres  = 3.6e-16    ortho = 1.6e-15 
dgeqrf dgorgqr LAPACK | m =   17, n =   17, k =   17, nb =    3, lda =   17, ldq =   17,              | time = 0.000090   GFlop/sec = 0.072879| repres  = 3.3e-16    ortho = 1.6e-15 
dgeqrf dgorgqr LAPACK | m =   18, n =   18, k =   18, nb =    3, lda =   18, ldq =   18,              | time = 0.000094   GFlop/sec = 0.082779| repres  = 2.8e-16    ortho = 1.2e-15 
dgeqrf dgorgqr LAPACK | m =   19, n =   19, k =   19, nb =    3, lda =   19, ldq =   19,              | time = 0.000092   GFlop/sec = 0.099374| repres  = 5.7e-16    ortho = 2.3e-15 
dgeqrf dgorgqr LAPACK | m =   20, n =   20, k =   20, nb =    3, lda =   20, ldq =   20,              | time = 0.000091   GFlop/sec = 0.117118| repres  = 4.8e-16    ortho = 2.1e-15 
dgeqrf dgorgqr LAPACK | m =   21, n =   21, k =   21, nb =    3, lda =   21, ldq =   21,              | time = 0.000095   GFlop/sec = 0.130129| repres  = 3.4e-16    ortho = 1.9e-15 
dgeqrf dgorgqr LAPACK | m =   22, n =   22, k =   22, nb =    3, lda =   22, ldq =   22,              | time = 0.000106   GFlop/sec = 0.134117| repres  = 3.8e-16    ortho = 2.0e-15 
dgeqrf dgorgqr LAPACK | m =   23, n =   23, k =   23, nb =    3, lda =   23, ldq =   23,              | time = 0.000117   GFlop/sec = 0.138580| repres  = 4.2e-16    ortho = 2.1e-15 
dgeqrf dgorgqr LAPACK | m =   24, n =   24, k =   24, nb =    3, lda =   24, ldq =   24,              | time = 0.000101   GFlop/sec = 0.182765| repres  = 4.4e-16    ortho = 2.1e-15 
dgeqrf dgorgqr LAPACK | m =   25, n =   25, k =   25, nb =    3, lda =   25, ldq =   25,              | time = 0.000099   GFlop/sec = 0.210557| repres  = 4.2e-16    ortho = 2.4e-15 
dgeqrf dgorgqr LAPACK | m =   26, n =   26, k =   26, nb =    3, lda =   26, ldq =   26,              | time = 0.000095   GFlop/sec = 0.246965| repres  = 3.9e-16    ortho = 2.0e-15 
dgeqrf dgorgqr LAPACK | m =   27, n =   27, k =   27, nb =    3, lda =   27, ldq =   27,              | time = 0.000105   GFlop/sec = 0.250171| repres  = 4.4e-16    ortho = 2.1e-15 
dgeqrf dgorgqr LAPACK | m =   28, n =   28, k =   28, nb =    3, lda =   28, ldq =   28,              | time = 0.000099   GFlop/sec = 0.295818| repres  = 4.4e-16    ortho = 2.2e-15 
dgeqrf dgorgqr LAPACK | m =   29, n =   29, k =   29, nb =    3, lda =   29, ldq =   29,              | time = 0.000101   GFlop/sec = 0.321682| repres  = 3.9e-16    ortho = 2.1e-15 
dgeqrf dgorgqr LAPACK | m =   30, n =   30, k =   30, nb =    3, lda =   30, ldq =   30,              | time = 0.000099   GFlop/sec = 0.362969| repres  = 4.3e-16    ortho = 2.5e-15 
